region;variable;value;unit;baseyear;period;class
TUR;Emissions|Kyoto Gases|Excl. AFOLU CO2;252;%;2005;2030;INDC target relative to 2005 excluding LULUCF
USA;Emissions|Kyoto Gases|Excl. AFOLU CO2;74;%;2005;2025;INDC target relative to 2005 excluding LULUCF
ARG;Emissions|Kyoto Gases;469;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
AUS;Emissions|Kyoto Gases;400.35;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
BRA;Emissions|Kyoto Gases;1300;Mt CO2-equiv/yr;;2025;INDC target absolute emissions including LULUCF
BRA;Emissions|Kyoto Gases;1200;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
CAN;Emissions|Kyoto Gases;517.08;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
EU;Emissions|Kyoto Gases;3092.82;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
IDN;Emissions|Kyoto Gases;1699.79;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
JPN;Emissions|Kyoto Gases;1002.92;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
MEX;Emissions|Kyoto Gases;622.72;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
RUS;Emissions|Kyoto Gases;2357.45;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
SAF;Emissions|Kyoto Gases;506;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
TUR;Emissions|Kyoto Gases;928.25;Mt CO2-equiv/yr;;2030;INDC target absolute emissions including LULUCF
USA;Emissions|Kyoto Gases;4542.84;Mt CO2-equiv/yr;;2025;INDC target absolute emissions including LULUCF
ARG;Emissions|Kyoto Gases|Excl. AFOLU CO2;353.86;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
AUS;Emissions|Kyoto Gases|Excl. AFOLU CO2;366.8;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
BRA;Emissions|Kyoto Gases|Excl. AFOLU CO2;1300;Mt CO2-equiv/yr;;2025;INDC target absolute emissions excluding LULUCF
BRA;Emissions|Kyoto Gases|Excl. AFOLU CO2;1200;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
CAN;Emissions|Kyoto Gases|Excl. AFOLU CO2;545.08;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
EU;Emissions|Kyoto Gases|Excl. AFOLU CO2;3375.76;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
IDN;Emissions|Kyoto Gases|Excl. AFOLU CO2;1261.02;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
JPN;Emissions|Kyoto Gases|Excl. AFOLU CO2;1078.92;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
KOR;Emissions|Kyoto Gases|Excl. AFOLU CO2;535.88;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
MEX;Emissions|Kyoto Gases|Excl. AFOLU CO2;622.72;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
RUS;Emissions|Kyoto Gases|Excl. AFOLU CO2;2825.6;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
SAR;Emissions|Kyoto Gases|Excl. AFOLU CO2;1030;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
SAF;Emissions|Kyoto Gases|Excl. AFOLU CO2;532.08;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
TUR;Emissions|Kyoto Gases|Excl. AFOLU CO2;869.55;Mt CO2-equiv/yr;;2030;INDC target absolute emissions excluding LULUCF
USA;Emissions|Kyoto Gases|Excl. AFOLU CO2;5512.84;Mt CO2-equiv/yr;;2025;INDC target absolute emissions excluding LULUCF
