Region;Model;Scenario;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2060;2070;2080;2090;2100
USA;GCAM-USA;Npi_V3;GDP|MER;billion US$2010/yr OR local currency;13901.278;14315.002;16016.851;18169.256;20525.778;22985.001;25770.48;28893.238;31379.461;34406.258;;;;;
