"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"POLES CDL";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";1727.82306136719;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";2474.7953;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";1827.61120462304;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1673.8641;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2045.611247;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1950.2846495463;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1765.11641454849;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1873.5279307014;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1727.82306136719;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2492.8589;"MtCO2";2050
"WITCH2016";"NPi_V4";"National policies";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1827.61120462304;"MtCO2";2050
"*India MARKAL";"NPi_V4";"National policies";"national";"IND";"NoPolicy_V4";"Emissions|CO2";1837.53618;"MtCO2";2050
"*AIM-India [IIMA]";"NPi_V4";"National policies";"national";"IND";"NoPolicy_V4";"Emissions|CO2";1809.81435631335;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1669.4837;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2015.01303;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1949.89716060008;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1762.09774796293;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1873.5279307014;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1727.82306136719;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2492.8589;"MtCO2";2050
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1827.61120462304;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1669.4837;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2014.65603;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1969.62568129107;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1751.06250015919;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1873.5279307014;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1727.82306136719;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2492.8589;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1827.61120462304;"MtCO2";2050
"*India MARKAL";"NPi2020_low_V4";"Carbon budget 1000";"national";"IND";"NoPOL_V4";"Emissions|CO2";1803.07784;"MtCO2";2050
"*AIM-India [IIMA]";"NPi2020_low_V4";"Carbon budget 1000";"national";"IND";"NoPOL_V4";"Emissions|CO2";1809.81435631335;"MtCO2";2050
"*AIM-India [IIMA]";"NPi2020_verylow_V4";"Carbon budget 400";"national";"IND";"NoPolicy_V4";"Emissions|CO2";1809.81435631335;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4063.0814;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3918.70515594875;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3934.36958556293;"MtCO2";2050
"GEM-E3_EU";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3980.51506078667;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4628.992986242;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3613.8129140625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3772.6483;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3612.98599041024;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";4161.3429;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";3918.71536498022;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";3980.66248612034;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";4628.992986242;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";3613.81559960938;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";3786.4412;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"EU";"-";"Emissions|CO2";3612.98599041024;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4073.9994;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3918.69302737732;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3934.3574569915;"MtCO2";2050
"GEM-E3_EU";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3980.51506078667;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4628.992986242;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3613.8129140625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3772.319;"MtCO2";2050
"WITCH2016";"NPi_V4";"National policies";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3612.98599041024;"MtCO2";2050
"*PRIMES_V1";"NPi_V4";"National policies";"national";"EU";"NoPolicy_V4";"Emissions|CO2";4019.61439374788;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4068.6138;"MtCO2";2050
"DNE21+ V.14";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3920.3409660698;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3936.00539568398;"MtCO2";2050
"GEM-E3_EU";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4003.31350744402;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4628.992986242;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3613.8129140625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3772.319;"MtCO2";2050
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3612.98599041024;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4068.6138;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3918.58669105011;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3934.2511206643;"MtCO2";2050
"GEM-E3_EU";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3976.86109451843;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";4628.992986242;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3613.8129140625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3772.319;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"EU";"NoPolicy_V4";"Emissions|CO2";3612.98599041024;"MtCO2";2050
"*PRIMES_V1";"NPi2020_low_V4";"Carbon budget 1000";"national";"EU";"NoPOL_V4";"Emissions|CO2";4019.61439374788;"MtCO2";2050
"*PRIMES_V1";"NPi2020_verylow_V4";"Carbon budget 400";"national";"EU";"NoPolicy_V4";"Emissions|CO2";4019.61439374788;"MtCO2";2050
"*AIM/Enduse[Japan]";"INDC_V4";"NDC";"national";"JPN";"NoPOL_V4";"Emissions|CO2";1218.060164;"MtCO2";2050
"*DNE21+ V.14 (national)";"INDC_V4";"NDC";"national";"JPN";"NoPOL_V4";"Emissions|CO2";1202.92;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1419.5375;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1413.763773;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1192.82387043602;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1154.70337028786;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1156.3867493727;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1143.72712929688;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1335.9251;"MtCO2";2050
"*AIM/Enduse[Japan]";"NoPOL_V4";"No policy";"national";"JPN";"-";"Emissions|CO2";1218.072564;"MtCO2";2050
"*DNE21+ V.14 (national)";"NoPOL_V4";"No policy";"national";"JPN";"-";"Emissions|CO2";1202.92;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1455.8471;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1413.231886;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1192.90196725119;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1156.92173268981;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1143.72712929688;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"JPN";"-";"Emissions|CO2";1335.9251;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1430.1381;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1413.246979;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1192.81962043602;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1154.69912028786;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1156.3867493727;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1143.72712929688;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1335.9251;"MtCO2";2050
"*AIM/Enduse[Japan]";"NPi_V4";"National policies";"national";"JPN";"NoPolicy_V4";"Emissions|CO2";1218.060164;"MtCO2";2050
"*DNE21+ V.14 (national)";"NPi_V4";"National policies";"national";"JPN";"NoPolicy_V4";"Emissions|CO2";1202.92;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1430.0773;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1388.6378;"MtCO2";2050
"DNE21+ V.14";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1193.24727920798;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1155.12677905982;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1158.95267751421;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1143.72712929688;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1335.9251;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1430.0773;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1388.6378;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1189.37302672648;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1151.25252657833;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1157.53694671981;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1143.72712929688;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"JPN";"NoPolicy_V4";"Emissions|CO2";1335.9251;"MtCO2";2050
"*AIM/Enduse[Japan]";"NPi2020_low_V4";"Carbon budget 1000";"national";"JPN";"NoPOL_V4";"Emissions|CO2";1218.060164;"MtCO2";2050
"*DNE21+ V.14 (national)";"NPi2020_low_V4";"Carbon budget 1000";"national";"JPN";"NoPOL_V4";"Emissions|CO2";1202.92;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6357.0438;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5115.843863;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5585.924212269;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5587.62548832701;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5319.07560269709;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6701.85901811336;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5541.9958515625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6159.564;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5413.85584148628;"MtCO2";2050
"*GCAM-USA_CDLINKS";"NoPOL_V4";"No policy";"national";"USA";"-";"Emissions|CO2";4933.98628193139;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";6510.2975;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";5085.944911;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";5520.97334729353;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";5306.76281786524;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";6701.85901811336;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";5541.9958515625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";6212.2631;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"USA";"-";"Emissions|CO2";5413.85584148628;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6354.6074;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5099.098423;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5531.99728022141;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5533.69855627942;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5319.07560269709;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6701.85901811336;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5541.9958515625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6228.2834;"MtCO2";2050
"WITCH2016";"NPi_V4";"National policies";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5413.85584148628;"MtCO2";2050
"*GCAM-USA_CDLINKS";"NPi_V4";"National policies";"national";"USA";"NoPolicy_V4";"Emissions|CO2";4933.98530960329;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6361.7004;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";4966.0574;"MtCO2";2050
"DNE21+ V.14";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5531.66885679099;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5533.370132849;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5327.50911506765;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6701.85901811336;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5541.9958515625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6228.2834;"MtCO2";2050
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5413.85584148628;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6361.7004;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";4967.283;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5598.67593102858;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5600.37720708659;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5320.21248420761;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6701.85901811336;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5541.9958515625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";6228.2834;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"USA";"NoPolicy_V4";"Emissions|CO2";5413.85584148628;"MtCO2";2050
"*GCAM-USA_CDLINKS";"NPi2020_low_V4";"Carbon budget 1000";"national";"USA";"NoPOL_V4";"Emissions|CO2";4934.01997147128;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1361.79339;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1570.8462944467;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1560.96285899433;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1650.52323419953;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1440.02384619141;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1437.8754;"MtCO2";2050
"*RU-TIMES 3.2";"NoPOL_V4";"No policy";"national";"RUS";"-";"Emissions|CO2";1368.70555757368;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"RUS";"-";"Emissions|CO2";1361.197003;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"RUS";"-";"Emissions|CO2";1571.87879732248;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"RUS";"-";"Emissions|CO2";1652.83470677461;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"RUS";"-";"Emissions|CO2";1440.02384619141;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"RUS";"-";"Emissions|CO2";1439.7155;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1361.794861;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1571.1038694467;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1561.22043399433;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1650.52323419953;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1440.02384619141;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1438.9057;"MtCO2";2050
"*RU-TIMES 3.2";"NPi_V4";"National policies";"national";"RUS";"NoPolicy_V4";"Emissions|CO2";1367.92844228491;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"RUS";"NoPolicy_V4";"Emissions|CO2";1366.24839;"MtCO2";2050
