"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";15881.7074284843;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";13358.6478;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";16018.902517;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";23604.2388878259;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";14003.690436995;"MtCO2";2050
"GEM-E3_EU";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";-4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";11790.3485575904;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";16929.2471694416;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";11953.8267705664;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";13426.0205;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";15881.7074284843;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";33954.0254;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";33934.114173;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";36533.193;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";37516.3676644468;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";35161.0488313215;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";38542.0181565179;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";35102.8850625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";36463.2378;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"World";"NoPolicy_V4";"Emissions|CO2";35674.1208033488;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";35001.8032;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";33840.725663;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";36533.193;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";35113.4537792338;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";38542.0181565179;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";35102.8850625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";36169.0957;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"World";"-";"Emissions|CO2";35674.1208033488;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";33926.8721;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";34631.985746;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";36533.193;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";37520.4945769468;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";35161.0452505923;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";38542.0181565179;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";35102.8850625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";36445.8913;"MtCO2";2050
"WITCH2016";"NPi_V4";"National policies";"global";"World";"NoPolicy_V4";"Emissions|CO2";35674.1208033488;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";33910.2215;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";33559.163608;"MtCO2";2050
"DNE21+ V.14";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";36533.193;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";37505.0378829184;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";35037.7464224561;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";38542.0181565179;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";35102.8850625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";36445.8913;"MtCO2";2050
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"World";"NoPolicy_V4";"Emissions|CO2";35674.1208033488;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";33910.2215;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";33481.708177;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";36533.193;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";37520.8686809945;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";35234.371422474;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";38542.0181565179;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";35102.8850625;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";36445.8913;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"World";"NoPolicy_V4";"Emissions|CO2";35674.1208033488;"MtCO2";2050
"*COPPE-MSB_v2.0";"INDC_V4";"NDC";"national";"BRA";"NoPOL_V4";"Emissions|CO2";564.468876;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";557.2408;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";717.774542;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";654.862105383726;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";656.49729364912;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";573.249954275746;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";910.470067578125;"MtCO2";2050
"*COPPE-MSB_v2.0";"NoPOL_V4";"No policy";"national";"BRA";"-";"Emissions|CO2";569.592804;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"BRA";"-";"Emissions|CO2";588.8326;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"BRA";"-";"Emissions|CO2";717.774542;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"BRA";"-";"Emissions|CO2";660.29639000774;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"BRA";"-";"Emissions|CO2";598.81289169669;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"BRA";"-";"Emissions|CO2";910.470067578125;"MtCO2";2050
"*COPPE-MSB_v2.0";"NPi_V4";"National policies";"national";"BRA";"NoPOL_V4";"Emissions|CO2";551.873689;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";575.2417;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";717.774542;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";655.736305383726;"MtCO2";2050
"GEM-E3";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";657.37149364912;"MtCO2";2050
"IMAGE 3.0";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";573.249954275746;"MtCO2";2050
"POLES CDL";"NPi_V4";"National policies";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";910.470067578125;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";564.3028;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";705.20956;"MtCO2";2050
"DNE21+ V.14";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";648.602082832273;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";650.237271097667;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";538.469772387819;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";910.470067578125;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";564.3028;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";702.86586;"MtCO2";2050
"DNE21+ V.14";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";649.65567452581;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";651.290862791203;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";539.364842781781;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"BRA";"NoPolicy_V4";"Emissions|CO2";910.470067578125;"MtCO2";2050
